,name,type,species,period,period_time,continent,lived_in,diet,length,size,taxonomy,link
130,Heyuannia,Small Theropod,Yanshini,Cretaceous,Late,Asia,Mongolia,Omnivorous,2.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,https://www.nhm.ac.uk/discover/dino-directory/heyuannia.html
131,Homalocephale,Euornithopod,Calathocercos,Cretaceous,Late,Asia,Mongolia,Herbivorous,1.5,Short,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea,https://www.nhm.ac.uk/discover/dino-directory/homalocephale.html
132,Huayangosaurus,Armoured Dinosaur,Taibaii,Jurassic,Mid,Asia,China,Herbivorous,4.5,Medium,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Huayangosauridae,https://www.nhm.ac.uk/discover/dino-directory/huayangosaurus.html
133,Hylaeosaurus,Armoured Dinosaur,Armatus,Cretaceous,Early,Europe,United Kingdom,Herbivorous,5.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,https://www.nhm.ac.uk/discover/dino-directory/hylaeosaurus.html
134,Hypacrosaurus,Euornithopod,Altispinus,Cretaceous,Late,North America,United States,Herbivorous,9.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,https://www.nhm.ac.uk/discover/dino-directory/hypacrosaurus.html
135,Hypsilophodon,Euornithopod,Foxii,Cretaceous,Early,Europe,United Kingdom,Herbivorous,2.3,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Hypsilophodontidae,https://www.nhm.ac.uk/discover/dino-directory/hypsilophodon.html
136,Iguanodon,Euornithopod,Bernissartensis,Cretaceous,Early,Europe,United Kingdom,Herbivorous,10.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/iguanodon.html
137,Indosuchus,Large Theropod,Raptorius,Cretaceous,Late,Asia,India,Carnivorous,7.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,https://www.nhm.ac.uk/discover/dino-directory/indosuchus.html
138,Irritator,Large Theropod,Challengeri,Cretaceous,Early,South America,Brazil,Carnivorous,6.5,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,https://www.nhm.ac.uk/discover/dino-directory/irritator.html
139,Isisaurus,Sauropod,Colberti,Cretaceous,Late,Asia,India,Herbivorous,18.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/isisaurus.html
140,Janenschia,Sauropod,Robusta,Jurassic,Late,Africa,Tanzania,Herbivorous,20.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,https://www.nhm.ac.uk/discover/dino-directory/janenschia.html
141,Jaxartosaurus,Euornithopod,Aralensis,Cretaceous,Late,Asia,Kazakhstan,Herbivorous,9.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,https://www.nhm.ac.uk/discover/dino-directory/jaxartosaurus.html
142,Jingshanosaurus,Sauropod,Xinwaensis,Jurassic,Early,Asia,China,Herbivorous,5.0,Medium,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,https://www.nhm.ac.uk/discover/dino-directory/jingshanosaurus.html
143,Jinzhousaurus,Euornithopod,Yangi,Cretaceous,Early,Asia,China,Herbivorous,7.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/jinzhousaurus.html
144,Jobaria,Sauropod,Tiguidensis,Cretaceous,Early,Africa,Niger,Herbivorous,21.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,https://www.nhm.ac.uk/discover/dino-directory/jobaria.html
145,Juravenator,Small Theropod,Starki,Jurassic,Late,Europe,Germany,Carnivorous,0.8,Short,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,https://www.nhm.ac.uk/discover/dino-directory/juravenator.html
146,Kentrosaurus,Armoured Dinosaur,Aethiopicus,Jurassic,Late,Africa,Tanzania,Herbivorous,5.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html
147,Khaan,Small Theropod,Mckennai,Cretaceous,Late,Asia,Mongolia,Omnivorous,1.8,Short,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,https://www.nhm.ac.uk/discover/dino-directory/khaan.html
148,Kotasaurus,Sauropod,Yamanpalliensis,Jurassic,Early,Asia,India,Herbivorous,9.0,Medium,Dinosauria Saurischia Sauropodomorpha Sauropoda,https://www.nhm.ac.uk/discover/dino-directory/kotasaurus.html
149,Kritosaurus,Euornithopod,Navajovius,Cretaceous,Late,North America,United States,Herbivorous,8.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/kritosaurus.html
150,Lambeosaurus,Euornithopod,Lambei,Cretaceous,Late,North America,Canada,Herbivorous,9.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,https://www.nhm.ac.uk/discover/dino-directory/lambeosaurus.html
151,Lapparentosaurus,Sauropod,Madagascariensis,Jurassic,Mid,Africa,Madagascar,Herbivorous,15.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,https://www.nhm.ac.uk/discover/dino-directory/lapparentosaurus.html
152,Leaellynasaura,Euornithopod,Amicagraphica,Cretaceous,Early,Oceania,Australia,Herbivorous,2.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/leaellynasaura.html
153,Leptoceratops,Ceratopsian,Gracilis,Cretaceous,Late,North America,United States,Herbivorous,3.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,https://www.nhm.ac.uk/discover/dino-directory/leptoceratops.html
154,Liaoceratops,Ceratopsian,Yanzigouensis,Cretaceous,Early,Asia,China,Herbivorous,1.0,Short,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,https://www.nhm.ac.uk/discover/dino-directory/liaoceratops.html
